question_id,question,question_type,ground_truth_url,retrieved_urls,generated_answer,reference_answer,mrr,latency_seconds,rouge_l,bert_score
11,Why did Fitzgerald publish The Great Gatsby?,inferential,https://en.wikipedia.org/wiki/Ernest_Hemingway,"['https://en.wikipedia.org/wiki/Ernest_Hemingway', 'https://en.wikipedia.org/wiki/Ernest_Hemingway', 'https://en.wikipedia.org/wiki/Jane_Austen', 'https://en.wikipedia.org/wiki/Jane_Austen', 'https://en.wikipedia.org/wiki/Jane_Austen', 'https://en.wikipedia.org/wiki/Ernest_Hemingway', 'https://en.wikipedia.org/wiki/Chinua_Achebe', 'https://en.wikipedia.org/wiki/Bill_Gates', 'https://en.wikipedia.org/wiki/Leo_Tolstoy', 'https://en.wikipedia.org/wiki/Jane_Austen']",Hemingway liked it,Hemingway read it,1.0,0.26,0.6667,0.9064
12,What is the name of Rembrandt's most famous painting?,multi_hop,https://en.wikipedia.org/wiki/Rembrandt,"['https://en.wikipedia.org/wiki/Rembrandt', 'https://en.wikipedia.org/wiki/Rembrandt', 'https://en.wikipedia.org/wiki/Rembrandt', 'https://en.wikipedia.org/wiki/Rembrandt', 'https://en.wikipedia.org/wiki/Rembrandt', 'https://en.wikipedia.org/wiki/Rembrandt', 'https://en.wikipedia.org/wiki/Rembrandt', 'https://en.wikipedia.org/wiki/Rembrandt', 'https://en.wikipedia.org/wiki/Rembrandt', 'https://en.wikipedia.org/wiki/Rembrandt']",Belshazzar's Feast,Belshazzar's Feast,1.0,0.322,1.0,1.0
13,What is the earliest undisputed evidence of life on Earth?,factual,https://en.wikipedia.org/wiki/Evolution,"['https://en.wikipedia.org/wiki/Evolution', 'https://en.wikipedia.org/wiki/Photosynthesis', 'https://en.wikipedia.org/wiki/Bacteria', 'https://en.wikipedia.org/wiki/Evolution', 'https://en.wikipedia.org/wiki/DNA', 'https://en.wikipedia.org/wiki/Evolution', 'https://en.wikipedia.org/wiki/Photosynthesis', 'https://en.wikipedia.org/wiki/Biology', 'https://en.wikipedia.org/wiki/Bacteria', 'https://en.wikipedia.org/wiki/Biology']",3.5 billion years ago,3.5 billion years ago,1.0,0.247,1.0,1.0
14,How many years after construction began did construction begin on the Trans-Amazonian highway?,comparative,https://en.wikipedia.org/wiki/Amazon_rainforest,"['https://en.wikipedia.org/wiki/Technology', 'https://en.wikipedia.org/wiki/Amazon_rainforest', 'https://en.wikipedia.org/wiki/Cairo', 'https://en.wikipedia.org/wiki/Tesla,_Inc.', 'https://en.wikipedia.org/wiki/Ancient_Rome', 'https://en.wikipedia.org/wiki/Surfside_condominium_collapse', 'https://en.wikipedia.org/wiki/Industrial_Revolution', 'https://en.wikipedia.org/wiki/Nigeria', 'https://en.wikipedia.org/wiki/Brazil', 'https://en.wikipedia.org/wiki/Building_information_modeling']",1,2,0.5,0.193,0.0,0.4947
15,Why did Nicholas want to restore the prestige that Russia had lost?,inferential,https://en.wikipedia.org/wiki/Russian_Revolution,"['https://en.wikipedia.org/wiki/Russia', 'https://en.wikipedia.org/wiki/Russian_Revolution', 'https://en.wikipedia.org/wiki/Russian_Revolution', 'https://en.wikipedia.org/wiki/Russian_Revolution', 'https://en.wikipedia.org/wiki/Russian_Revolution', 'https://en.wikipedia.org/wiki/Russian_Revolution', 'https://en.wikipedia.org/wiki/Russian_Revolution', 'https://en.wikipedia.org/wiki/Russian_Revolution', 'https://en.wikipedia.org/wiki/Russian_Revolution', 'https://en.wikipedia.org/wiki/Fyodor_Dostoevsky']",to modernise the Imperial Russian Army,a war against a common and old enemy,0.5,0.279,0.0,0.6668
16,Who wrote The Adventures of Tom Sawyer?,multi_hop,https://en.wikipedia.org/wiki/Mark_Twain,"['https://en.wikipedia.org/wiki/Mark_Twain', 'https://en.wikipedia.org/wiki/Mark_Twain', 'https://en.wikipedia.org/wiki/Mark_Twain', 'https://en.wikipedia.org/wiki/Mark_Twain', 'https://en.wikipedia.org/wiki/Mark_Twain', 'https://en.wikipedia.org/wiki/Mark_Twain', 'https://en.wikipedia.org/wiki/Mark_Twain', 'https://en.wikipedia.org/wiki/Mark_Twain', 'https://en.wikipedia.org/wiki/Mark_Twain', 'https://en.wikipedia.org/wiki/Mark_Twain']",Mark Twain,Mark Twain,1.0,0.226,1.0,1.0
17,When did Fermi give a lecture on nuclear energy?,factual,https://en.wikipedia.org/wiki/Enrico_Fermi,"['https://en.wikipedia.org/wiki/Enrico_Fermi', 'https://en.wikipedia.org/wiki/Enrico_Fermi', 'https://en.wikipedia.org/wiki/Enrico_Fermi', 'https://en.wikipedia.org/wiki/Enrico_Fermi', 'https://en.wikipedia.org/wiki/Enrico_Fermi', 'https://en.wikipedia.org/wiki/Enrico_Fermi', 'https://en.wikipedia.org/wiki/Enrico_Fermi', 'https://en.wikipedia.org/wiki/Enrico_Fermi', 'https://en.wikipedia.org/wiki/Enrico_Fermi', 'https://en.wikipedia.org/wiki/Enrico_Fermi']",1956,18 March 1939,1.0,0.187,0.0,0.5651
18,What is the difference between pyrosequencing and DNA sequencing?,comparative,https://en.wikipedia.org/wiki/DNA_sequencing,"['https://en.wikipedia.org/wiki/DNA_sequencing', 'https://en.wikipedia.org/wiki/DNA_sequencing', 'https://en.wikipedia.org/wiki/DNA_sequencing', 'https://en.wikipedia.org/wiki/DNA_sequencing', 'https://en.wikipedia.org/wiki/DNA_sequencing', 'https://en.wikipedia.org/wiki/DNA_sequencing', 'https://en.wikipedia.org/wiki/DNA_sequencing', 'https://en.wikipedia.org/wiki/DNA_sequencing', 'https://en.wikipedia.org/wiki/DNA_sequencing', 'https://en.wikipedia.org/wiki/DNA_sequencing']",pyrosequencing is a method for determining the length of a DNA sequence.,DNA chains are extended one nucleotide at a time,1.0,0.54,0.0952,0.7557
19,Why did Robert Koch change his area of study to medicine?,inferential,https://en.wikipedia.org/wiki/Robert_Koch,"['https://en.wikipedia.org/wiki/Robert_Koch', 'https://en.wikipedia.org/wiki/Robert_Koch', 'https://en.wikipedia.org/wiki/Robert_Koch', 'https://en.wikipedia.org/wiki/Robert_Koch', 'https://en.wikipedia.org/wiki/Robert_Koch', 'https://en.wikipedia.org/wiki/Robert_Koch', 'https://en.wikipedia.org/wiki/Bacteria', 'https://en.wikipedia.org/wiki/Louis_Pasteur', 'https://en.wikipedia.org/wiki/Robert_Koch', 'https://en.wikipedia.org/wiki/Robert_Koch']",he aspired to be a physician,he aspired to be a physician,1.0,0.372,1.0,1.0
20,Who was erected in his memory on the north wall?,multi_hop,https://en.wikipedia.org/wiki/William_Shakespeare,"['https://en.wikipedia.org/wiki/Fall_of_the_Berlin_Wall', 'https://en.wikipedia.org/wiki/Architecture_in_Middle-earth', 'https://en.wikipedia.org/wiki/Battle_of_Jaktor%C3%B3w', 'https://en.wikipedia.org/wiki/Fall_of_the_Berlin_Wall', 'https://en.wikipedia.org/wiki/Fall_of_the_Berlin_Wall', 'https://en.wikipedia.org/wiki/Fall_of_the_Berlin_Wall', 'https://en.wikipedia.org/wiki/Charles_Dickens', 'https://en.wikipedia.org/wiki/Vincent_van_Gogh', 'https://en.wikipedia.org/wiki/Fall_of_the_Berlin_Wall', 'https://en.wikipedia.org/wiki/Ephemeral_architecture']",Wessis,Shakespeare,0.0,0.259,0.0,0.6197
21,When did the 2004 Indian Ocean earthquake occur?,factual,https://en.wikipedia.org/wiki/Indonesia,"['https://en.wikipedia.org/wiki/Himalayas', 'https://en.wikipedia.org/wiki/Indonesia', 'https://en.wikipedia.org/wiki/Japan', 'https://en.wikipedia.org/wiki/India', 'https://en.wikipedia.org/wiki/Himalayas', 'https://en.wikipedia.org/wiki/Mount_Everest', 'https://en.wikipedia.org/wiki/Himalayas', 'https://en.wikipedia.org/wiki/India', 'https://en.wikipedia.org/wiki/Australia', 'https://en.wikipedia.org/wiki/Indonesia']",[1].,(a).,0.5,0.234,0.0,0.5033
22,What were the tramway rails removed from?,comparative,https://en.wikipedia.org/wiki/Cairo,"['https://en.wikipedia.org/wiki/Industrial_Revolution', 'https://en.wikipedia.org/wiki/Cairo', 'https://en.wikipedia.org/wiki/Paris', 'https://en.wikipedia.org/wiki/Steam_engine', 'https://en.wikipedia.org/wiki/Industrial_Revolution', 'https://en.wikipedia.org/wiki/Sydney', 'https://en.wikipedia.org/wiki/Charles_Dickens', 'https://en.wikipedia.org/wiki/Industrial_Revolution', 'https://en.wikipedia.org/wiki/Fall_of_the_Berlin_Wall', 'https://en.wikipedia.org/wiki/Paris']",unanswerable,central Cairo,0.5,0.155,0.0,0.6172
23,The use of nuclear power in space is mostly used to power space missions and experiments for long periods where solar power is not available in sufficient quantity?,inferential,https://en.wikipedia.org/wiki/Nuclear_power,"['https://en.wikipedia.org/wiki/Nuclear_power', 'https://en.wikipedia.org/wiki/Nuclear_power', 'https://en.wikipedia.org/wiki/Nuclear_power', 'https://en.wikipedia.org/wiki/Nuclear_power', 'https://en.wikipedia.org/wiki/Nuclear_power', 'https://en.wikipedia.org/wiki/Solar_cell', 'https://en.wikipedia.org/wiki/Nuclear_power', 'https://en.wikipedia.org/wiki/Nuclear_power', 'https://en.wikipedia.org/wiki/Nuclear_power', 'https://en.wikipedia.org/wiki/Nuclear_power']",(4).,[iii],1.0,0.243,0.0,0.5636
24,Who was the first to publish evidence that it was effective?,multi_hop,https://en.wikipedia.org/wiki/Vaccination,"['https://en.wikipedia.org/wiki/Evolution', 'https://en.wikipedia.org/wiki/Scientific_Revolution', 'https://en.wikipedia.org/wiki/Electric_motor', 'https://en.wikipedia.org/wiki/Rosalind_Franklin', 'https://en.wikipedia.org/wiki/Martin_Luther_King_Jr.', 'https://en.wikipedia.org/wiki/Robert_Koch', 'https://en.wikipedia.org/wiki/Big_Bang', 'https://en.wikipedia.org/wiki/Photography', 'https://en.wikipedia.org/wiki/Albert_Einstein', 'https://en.wikipedia.org/wiki/Technology']",Thomas Henry Huxley,Edward Jenner,0.0,0.211,0.0,0.7414
25,In what year was a digital television service proposed?,factual,https://en.wikipedia.org/wiki/Television,"['https://en.wikipedia.org/wiki/Television', 'https://en.wikipedia.org/wiki/Television', 'https://en.wikipedia.org/wiki/Television', 'https://en.wikipedia.org/wiki/Television', 'https://en.wikipedia.org/wiki/Television', 'https://en.wikipedia.org/wiki/Television', 'https://en.wikipedia.org/wiki/Television', 'https://en.wikipedia.org/wiki/Television', 'https://en.wikipedia.org/wiki/Television', 'https://en.wikipedia.org/wiki/Television']",1986,1986,1.0,0.17,0.0065,0.5853
26,What is the basic shape of a typic bicycle?,comparative,https://en.wikipedia.org/wiki/Bicycle,"['https://en.wikipedia.org/wiki/Bicycle', 'https://en.wikipedia.org/wiki/Bicycle', 'https://en.wikipedia.org/wiki/Bicycle', 'https://en.wikipedia.org/wiki/Bicycle', 'https://en.wikipedia.org/wiki/Bicycle', 'https://en.wikipedia.org/wiki/Bicycle', 'https://en.wikipedia.org/wiki/Bicycle', 'https://en.wikipedia.org/wiki/Bicycle', 'https://en.wikipedia.org/wiki/Bicycle', 'https://en.wikipedia.org/wiki/Bicycle']",upright,two wheels,1.0,0.202,0.0,0.7309
27,"Electric motors have two mechanical parts: the rotor, which moves, and the stator, which does not. Why or How?",inferential,https://en.wikipedia.org/wiki/Electric_motor,"['https://en.wikipedia.org/wiki/Electric_motor', 'https://en.wikipedia.org/wiki/Electric_motor', 'https://en.wikipedia.org/wiki/Electric_motor', 'https://en.wikipedia.org/wiki/Electric_motor', 'https://en.wikipedia.org/wiki/Electric_motor', 'https://en.wikipedia.org/wiki/Electric_motor', 'https://en.wikipedia.org/wiki/Electric_motor', 'https://en.wikipedia.org/wiki/Electric_motor', 'https://en.wikipedia.org/wiki/Electric_motor', 'https://en.wikipedia.org/wiki/Electric_motor']",The magnets create a magnetic field,The magnets create a magnetic field that passes through the armature,1.0,0.305,0.7059,0.915
28,Who wrote five popular early picaresque novels?,multi_hop,https://en.wikipedia.org/wiki/France,"['https://en.wikipedia.org/wiki/Charles_Dickens', 'https://en.wikipedia.org/wiki/France', 'https://en.wikipedia.org/wiki/V._S._Naipaul', 'https://en.wikipedia.org/wiki/Charles_Dickens', 'https://en.wikipedia.org/wiki/Jane_Austen', 'https://en.wikipedia.org/wiki/Samuel_Beckett', 'https://en.wikipedia.org/wiki/Existentialism', 'https://en.wikipedia.org/wiki/Russia', 'https://en.wikipedia.org/wiki/Kazuo_Ishiguro', 'https://en.wikipedia.org/wiki/Leo_Tolstoy']",Laurence Sterne,François Rabelais,0.5,0.228,0.0,0.6975
29,When did Marley and Perry split after a dispute regarding the assignment of recording rights?,factual,https://en.wikipedia.org/wiki/Bob_Marley,"['https://en.wikipedia.org/wiki/Bob_Marley', 'https://en.wikipedia.org/wiki/Bob_Marley', 'https://en.wikipedia.org/wiki/Bob_Marley', 'https://en.wikipedia.org/wiki/Bob_Marley', 'https://en.wikipedia.org/wiki/Bob_Marley', 'https://en.wikipedia.org/wiki/Bob_Marley', 'https://en.wikipedia.org/wiki/Bob_Marley', 'https://en.wikipedia.org/wiki/Bob_Marley', 'https://en.wikipedia.org/wiki/Bob_Marley', 'https://en.wikipedia.org/wiki/Bob_Marley']",unanswerable,1969,1.0,0.237,0.0,0.5723
30,What did the University of Paris offer Pierre Curie?,comparative,https://en.wikipedia.org/wiki/Marie_Curie,"['https://en.wikipedia.org/wiki/Marie_Curie', 'https://en.wikipedia.org/wiki/Marie_Curie', 'https://en.wikipedia.org/wiki/Marie_Curie', 'https://en.wikipedia.org/wiki/Marie_Curie', 'https://en.wikipedia.org/wiki/Marie_Curie', 'https://en.wikipedia.org/wiki/Marie_Curie', 'https://en.wikipedia.org/wiki/Marie_Curie', 'https://en.wikipedia.org/wiki/Marie_Curie', 'https://en.wikipedia.org/wiki/Marie_Curie', 'https://en.wikipedia.org/wiki/Marie_Curie']",a position,a position,1.0,0.219,1.0,1.0
31,Why are antibiotics in Phase 3 clinical trials?,inferential,https://en.wikipedia.org/wiki/Antibiotic,"['https://en.wikipedia.org/wiki/Antibiotic', 'https://en.wikipedia.org/wiki/Antibiotic', 'https://en.wikipedia.org/wiki/Antibiotic', 'https://en.wikipedia.org/wiki/Antibiotic', 'https://en.wikipedia.org/wiki/Antibiotic', 'https://en.wikipedia.org/wiki/Antibiotic', 'https://en.wikipedia.org/wiki/Penicillin', 'https://en.wikipedia.org/wiki/Antibiotic', 'https://en.wikipedia.org/wiki/Antibiotic', 'https://en.wikipedia.org/wiki/Vaccination']",they have been shown to be effective,they did not address the entire spectrum of resistance of Gram-negative bacilli,1.0,0.225,0.1,0.7124
32,In what year was Hawking awarded the Julius Edgar Lilienfeld Prize?,multi_hop,https://en.wikipedia.org/wiki/Stephen_Hawking,"['https://en.wikipedia.org/wiki/Stephen_Hawking', 'https://en.wikipedia.org/wiki/Stephen_Hawking', 'https://en.wikipedia.org/wiki/Stephen_Hawking', 'https://en.wikipedia.org/wiki/Stephen_Hawking', 'https://en.wikipedia.org/wiki/Stephen_Hawking', 'https://en.wikipedia.org/wiki/Stephen_Hawking', 'https://en.wikipedia.org/wiki/Stephen_Hawking', 'https://en.wikipedia.org/wiki/Stephen_Hawking', 'https://en.wikipedia.org/wiki/Stephen_Hawking', 'https://en.wikipedia.org/wiki/Stephen_Hawking']",1976,1999,1.0,0.16,0.0,0.478
33,In what year did Australia rank 22nd in the Global Innovation Index?,factual,https://en.wikipedia.org/wiki/Australia,"['https://en.wikipedia.org/wiki/Australia', 'https://en.wikipedia.org/wiki/Australia', 'https://en.wikipedia.org/wiki/Sydney', 'https://en.wikipedia.org/wiki/Australia', 'https://en.wikipedia.org/wiki/United_States', 'https://en.wikipedia.org/wiki/China', 'https://en.wikipedia.org/wiki/Sydney', 'https://en.wikipedia.org/wiki/United_Kingdom', 'https://en.wikipedia.org/wiki/Australia', 'https://en.wikipedia.org/wiki/Sydney']",2025,2025,1.0,0.166,0.0064,0.6072
34,What was Ostrom's major recreational activity?,comparative,https://en.wikipedia.org/wiki/Elinor_Ostrom,"['https://en.wikipedia.org/wiki/Elinor_Ostrom', 'https://en.wikipedia.org/wiki/Elinor_Ostrom', 'https://en.wikipedia.org/wiki/Elinor_Ostrom', 'https://en.wikipedia.org/wiki/Elinor_Ostrom', 'https://en.wikipedia.org/wiki/Elinor_Ostrom', 'https://en.wikipedia.org/wiki/Elinor_Ostrom', 'https://en.wikipedia.org/wiki/Elinor_Ostrom', 'https://en.wikipedia.org/wiki/Elinor_Ostrom', 'https://en.wikipedia.org/wiki/Elinor_Ostrom', 'https://en.wikipedia.org/wiki/Elinor_Ostrom']",swimming,swimming,1.0,0.177,1.0,1.0
35,How did Boltzmann define entropy?,inferential,https://en.wikipedia.org/wiki/Entropy,"['https://en.wikipedia.org/wiki/Entropy', 'https://en.wikipedia.org/wiki/Entropy', 'https://en.wikipedia.org/wiki/Entropy', 'https://en.wikipedia.org/wiki/Entropy', 'https://en.wikipedia.org/wiki/Entropy', 'https://en.wikipedia.org/wiki/Entropy', 'https://en.wikipedia.org/wiki/Entropy', 'https://en.wikipedia.org/wiki/Entropy', 'https://en.wikipedia.org/wiki/Entropy', 'https://en.wikipedia.org/wiki/Entropy']",He defined entropy as a state of being in a state of being in a state of being.,proportional to the natural logarithm,1.0,0.646,0.0,0.6781
36,Who led the rebellion against the Ganden Phodrang Government?,multi_hop,https://en.wikipedia.org/wiki/Dalai_Lama,"['https://en.wikipedia.org/wiki/Dalai_Lama', 'https://en.wikipedia.org/wiki/Dalai_Lama', 'https://en.wikipedia.org/wiki/Indian_independence_movement', 'https://en.wikipedia.org/wiki/Indian_independence_movement', 'https://en.wikipedia.org/wiki/Indian_independence_movement', 'https://en.wikipedia.org/wiki/Dalai_Lama', 'https://en.wikipedia.org/wiki/Dalai_Lama', 'https://en.wikipedia.org/wiki/Indian_independence_movement', 'https://en.wikipedia.org/wiki/Dalai_Lama', 'https://en.wikipedia.org/wiki/Dalai_Lama']",Shetra,Norbu,1.0,0.279,0.0,0.5836
37,Where did Tu study patients who had been infected with the disease?,factual,https://en.wikipedia.org/wiki/Tu_Youyou,"['https://en.wikipedia.org/wiki/Tu_Youyou', 'https://en.wikipedia.org/wiki/Tu_Youyou', 'https://en.wikipedia.org/wiki/Detention_of_Roger_George_Youd', 'https://en.wikipedia.org/wiki/Tu_Youyou', 'https://en.wikipedia.org/wiki/Tu_Youyou', 'https://en.wikipedia.org/wiki/Louis_Pasteur', 'https://en.wikipedia.org/wiki/Virus', 'https://en.wikipedia.org/wiki/Louis_Pasteur', 'https://en.wikipedia.org/wiki/Virus', 'https://en.wikipedia.org/wiki/Medicine']",Hainan,Hainan,1.0,0.167,1.0,1.0
38,What asteroid discovered in 1983 was named after Dirac?,comparative,https://en.wikipedia.org/wiki/Paul_Dirac,"['https://en.wikipedia.org/wiki/Precovery', 'https://en.wikipedia.org/wiki/Paul_Dirac', 'https://en.wikipedia.org/wiki/Paul_Dirac', 'https://en.wikipedia.org/wiki/Linus_Pauling', 'https://en.wikipedia.org/wiki/Periodic_table', 'https://en.wikipedia.org/wiki/Paul_Dirac', 'https://en.wikipedia.org/wiki/Paul_Dirac', 'https://en.wikipedia.org/wiki/Paul_Dirac', 'https://en.wikipedia.org/wiki/Periodic_table', 'https://en.wikipedia.org/wiki/Paul_Dirac']",69230 Hermes,An asteroid,0.5,0.171,0.0,0.6329
39,The use of bioenergy in conjunction with carbon capture and storage (BECCS) can result in net negative emissions as CO2 is drawn from the atmosphere later through changes in land use?,multi_hop,https://en.wikipedia.org/wiki/Climate_change,"['https://en.wikipedia.org/wiki/Climate_change', 'https://en.wikipedia.org/wiki/Climate_change', 'https://en.wikipedia.org/wiki/Climate_change', 'https://en.wikipedia.org/wiki/Nuclear_power', 'https://en.wikipedia.org/wiki/Internal_combustion_engine', 'https://en.wikipedia.org/wiki/Climate_change', 'https://en.wikipedia.org/wiki/Amazon_rainforest', 'https://en.wikipedia.org/wiki/Ecosystem', 'https://en.wikipedia.org/wiki/Climate_change', 'https://en.wikipedia.org/wiki/Photosynthesis']",unanswerable,(4).,1.0,0.256,0.0,0.6067
